Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,"Crime, Drama, Thriller",20 min
The Filthy Frank Show,9.8,"Short, Comedy, Fantasy",12 min
Game of Thrones,9.5,"Action, Adventure, Drama",57 min
Breaking Bad,9.5,"Crime, Drama, Thriller",49 min
Rick and Morty,9.3,"Animation, Adventure, Comedy",23 min
The Wire,9.3,"Crime, Drama, Thriller",59 min
TVF Pitchers,9.3,"Comedy, Drama",40 min
Sherlock,9.2,"Crime, Drama, Mystery",88 min
The Sopranos,9.2,"Crime, Drama",55 min
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure",23 min
The World at War,9.2,"Documentary, History, War",52 min
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama",80 min
Firefly,9.1,"Adventure, Drama, Sci-Fi",44 min
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure",24 min
Stranger Things,9.0,"Drama, Fantasy, Horror",51 min
Fargo,9.0,"Crime, Drama, Thriller",53 min
True Detective,9.0,"Crime, Drama, Mystery",55 min
The Twilight Zone,9.0,"Fantasy, Horror, Mystery",51 min
Death Note: Desu nôto,9.0,"Animation, Crime, Drama",24 min
Last Week Tonight with John Oliver,9.0,"Comedy, News, Talk-Show",30 min
One Punch Man: Wanpanman,9.0,"Animation, Action, Comedy",24 min
Batman: The Animated Series,9.0,"Animation, Action, Adventure",23 min
Black Mirror,8.9,"Drama, Sci-Fi, Thriller",60 min
Friends,8.9,"Comedy, Romance",22 min
Westworld,8.9,"Drama, Mystery, Sci-Fi",62 min
Narcos,8.9,"Biography, Crime, Drama",49 min
The Marvelous Mrs. Maisel,8.9,"Comedy, Drama",57 min
House of Cards,8.9,Drama,51 min
Seinfeld,8.9,Comedy,22 min
Arrested Development,8.9,Comedy,489 min
Gravity Falls,8.9,"Animation, Adventure, Comedy",23 min
Only Fools and Horses....,8.9,Comedy,95 min
Kaubôi bibappu,8.9,"Animation, Action, Adventure",24 min
Monty Python's Flying Circus,8.9,Comedy,30 min
Pod prikritie,8.9,"Action, Crime, Drama",60 min
This Is Us,8.8,"Comedy, Drama",45 min
Peaky Blinders,8.8,"Crime, Drama",60 min
La casa de papel,8.8,"Action, Crime, Mystery",70 min
The Office,8.8,Comedy,22 min
The Punisher,8.8,"Action, Adventure, Crime",53 min
It's Always Sunny in Philadelphia,8.8,Comedy,22 min
House M.D.,8.8,"Drama, Mystery",44 min
The Simpsons,8.8,"Animation, Comedy",22 min
The Grand Tour,8.8,"Comedy, Talk-Show",60 min
Twin Peaks,8.8,"Crime, Drama, Mystery",47 min
The West Wing,8.8,Drama,44 min
Freaks and Geeks,8.8,"Comedy, Drama",44 min
Shingeki no kyojin,8.8,"Animation, Action, Adventure",24 min
Rome,8.8,"Action, Drama, History",90 min
Oz,8.8,"Crime, Drama, Thriller",Runtime,55 min
